Normal, n=20, p=0.0;;;
name;;Spearman    ;Quad        
"&		E   ";-0.03689;-0.05429;-0.04000
"#		E^2 ";0.06542;0.06760;0.06400
"		D   ";0.06405;0.06466;0.06240
;;;
Normal, n=60, p=0.0;;;
name;Pearson     ;Spearman    ;Quad        
"		E   ";-0.00292;0.00109;0.02667
"		E^2 ";0.01416;0.01236;0.00978
"		D   ";0.01415;0.01236;0.00907
;;;
Normal, n=100, p=0.0;;;
name;Pearson     ;Spearman    ;Quad        
"		E   ";0.02268;0.01684;0.03600
"		E^2 ";0.01223;0.01307;0.00784
"		D   ";0.01171;0.01279;0.00654
;;;
Normal, n=1000, p=0.0;;;
name;Pearson     ;Spearman    ;Quad        
"		E   ";0.00850;0.00360;0.00040
"		E^2 ";0.00045;0.00057;0.00042
"		D   ";0.00037;0.00055;0.00042
;;;
;;;
Normal, n=20, p=0.5;;;
name;Pearson     ;Spearman    ;Quad        
"		E   ";0.43426;0.44647;0.30000
"		E^2 ";0.25642;0.24791;0.12400
"		D   ";0.06784;0.04858;0.03400
;;;
Normal, n=60, p=0.5;;;
name;Pearson     ;Spearman    ;Quad        
"		E   ";0.49214;0.46907;0.32000
"		E^2 ";0.25441;0.22897;0.11200
"		D   ";0.01221;0.00894;0.00960
;;;
Normal, n=100, p=0.5;;;
name;Pearson     ;Spearman    ;Quad        
"		E   ";0.54337;0.52102;0.34800
"		E^2 ";0.29805;0.27424;0.12848
"		D   ";0.00279;0.00278;0.00738
;;;
Normal, n=1000, p=0.5;;;
name;Pearson     ;Spearman    ;Quad        
"		E   ";0.50140;0.48244;0.33280
"		E^2 ";0.25174;0.23338;0.11237
"		D   ";0.00034;0.00063;0.00161
;;;
;;;
Normal, n=20, p=0.9;;;
name;Pearson     ;Spearman    ;Quad        
"		E   ";0.89498;0.85263;0.66000
"		E^2 ";0.80215;0.73479;0.46000
"		D   ";0.00116;0.00781;0.02440
;;;
Normal, n=60, p=0.9;;;
name;Pearson     ;Spearman    ;Quad        
"		E   ";0.89086;0.87848;0.67333
"		E^2 ";0.79420;0.77213;0.45644
"		D   ";0.00056;0.00040;0.00307
;;;
Normal, n=100, p=0.9;;;
name;Pearson     ;Spearman    ;Quad        
"		E   ";0.90284;0.89979;0.75600
"		E^2 ";0.81526;0.80983;0.57456
"		D   ";0.00014;0.00021;0.00302
;;;
Normal, n=1000, p=0.9;;;
name;Pearson     ;Spearman    ;Quad        
"		E   ";0.89680;0.88654;0.70520
"		E^2 ";0.80428;0.78601;0.49765
"		D   ";0.00003;0.00005;0.00035
;;;
;;;
NormalMix, n=20, p1=0.9, p2=-0.9;;;
name;Pearson     ;Spearman    ;Quad        
"		E   ";0.38004;0.38241;0.24000
"		E^2 ";0.17322;0.18143;0.12000
"		D   ";0.02879;0.03519;0.06240
;;;
NormalMix, n=60, p1=0.9, p2=-0.9;;;
name;Pearson     ;Spearman    ;Quad        
"		E   ";0.28512;0.26388;0.17333
"		E^2 ";0.09561;0.08443;0.04089
"		D   ";0.01431;0.01479;0.01084
;;;
NormalMix, n=100, p1=0.9, p2=-0.9;;;
name;Pearson     ;Spearman    ;Quad        
"		E   ";0.37280;0.37960;0.29200
"		E^2 ";0.14276;0.14797;0.09040
"		D   ";0.00379;0.00388;0.00514
;;;
NormalMix, n=1000, p1=0.9, p2=-0.9;;;
name;Pearson     ;Spearman    ;Quad        
"		E   ";0.40468;0.38879;0.26560
"		E^2 ";0.16416;0.15150;0.07114
"		D   ";0.00039;0.00034;0.00059
